trade_date,return,positions,cum_return,equity
2026-01-05,0.06362827238239734,50,1.0636282723823973,106362.82723823973
2026-01-06,0.012311177948888159,50,1.0767227893151656,107672.27893151656
2026-01-07,0.011477403960152866,50,1.0890807717212383,108908.07717212383
2026-01-08,0.007315046963281458,50,1.097047448713186,109704.7448713186
2026-01-09,0.02130188918462972,50,1.1204166318959552,112041.66318959552
2026-01-12,-0.04574896298470046,50,1.0691587328759045,106915.87328759044
2026-01-13,0.013370644643211051,50,1.083454074360374,108345.4074360374
2026-01-14,-0.03153343528548452,50,1.0492890454217365,104928.90454217365
2026-01-15,0.011841105178624491,50,1.0617137873713538,106171.37873713538
2026-01-16,0.03800877739519301,50,1.1020682303729588,110206.82303729588
2026-01-19,0.0023488780093257546,50,1.1046568542040582,110465.68542040582
2026-01-20,-0.004991280781134795,50,1.0991432016779208,109914.32016779207
2026-01-21,0.03403615369962242,50,1.1365538086281255,113655.38086281256
2026-01-22,0.003070636225294612,50,1.1400437519248956,114004.37519248956
2026-01-23,-0.017109851801315724,50,1.1205377722824446,112053.77722824445
2026-01-26,-0.04863099315659181,50,1.0660449075468743,106604.49075468743
2026-01-27,-0.03634142628215341,50,1.0273033151257944,102730.33151257945
2026-01-28,-0.05217304258052179,50,0.9737057755226252,97370.57755226252
2026-01-29,-0.03602577939339721,50,0.9386272660595703,93862.72660595702
2026-01-30,-0.024091178458813117,50,0.9160146290866212,91601.46290866213
2026-02-02,0.016602149783869848,50,0.9312224411629332,93122.24411629332
2026-02-03,0.010820560866964085,50,0.9412987902682195,94129.87902682195
2026-02-04,-0.0051421034838916935,50,0.9364585344793983,93645.85344793984
2026-02-05,-0.03583288831349898,50,0.9029025204031751,90290.25204031751
2026-02-06,0.013124389473186527,50,0.9147525647372681,91475.25647372681
2026-02-09,0.01213656209307465,50,0.9258545160390013,92585.45160390013
2026-02-10,0.02376490639542836,50,0.9478573619484528,94785.73619484529
2026-02-11,0.013429363588124982,50,0.9605864830917397,96058.64830917396
2026-02-12,0.04569796297037266,50,1.0044833286259065,100448.33286259064
2026-02-13,0.009194487736556033,50,1.0137190382725323,101371.90382725323
2026-02-24,0.02438326734299385,50,1.038436820593414,103843.6820593414
2026-02-25,-0.031240494470669206,50,1.0059955408415262,100599.55408415262
2026-02-26,-0.030837679672345502,50,0.9749729726012473,97497.29726012473
2026-02-27,-0.01952731638376542,50,0.9559343668996425,95593.43668996425
2026-03-02,-0.05422165766630113,50,0.9041020209061578,90410.20209061577
2026-03-03,-0.015017764687023902,50,0.8905244295031264,89052.44295031264
2026-03-04,0.02532631706995304,50,0.9130781335632617,91307.81335632618
2026-03-05,0.01062512715599569,50,0.9227797048357306,92277.97048357305
2026-03-06,-0.00936748517611379,50,0.9141355796298632,91413.55796298632
2026-03-09,-0.02907668409053664,50,0.8875555481650461,88755.5548165046
2026-03-10,-0.051931202517417355,50,0.8414637212478298,84146.37212478298
2026-03-11,-0.028977326639694826,50,0.8170803521417782,81708.03521417783
2026-03-12,-0.04747182322695004,50,0.7782920581026896,77829.20581026896
2026-03-13,-0.07810075369491845,50,0.7175068617701004,71750.68617701004
2026-03-16,-0.09429823380970173,50,0.6498472319588381,64984.72319588381
2026-03-17,-0.04687216092164276,50,0.6193874879279794,61938.74879279794
2026-03-18,-0.03047940878606679,50,0.6005089234864475,60050.892348644746
2026-03-19,-0.024085611362804585,50,0.5860452989354568,58604.529893545674
2026-03-20,-0.008583654192889437,50,0.5810148887480263,58101.48887480263
2026-03-23,0.015981956951318606,50,0.5903006436880724,59030.064368807245
2026-03-24,-0.0073858681337811306,50,0.5859407609745062,58594.07609745062
2026-03-25,-0.0059599717909096525,50,0.582448570567954,58244.857056795394
2026-03-26,-0.002016742299671914,50,0.5812739218983061,58127.39218983061
2026-03-27,-0.050289307479493395,50,0.5520420589101511,55204.20589101511
2026-03-30,-0.02314330471528452,50,0.5392659813251405,53926.598132514046
2026-03-31,-0.0130149374753327,50,0.5322474682956199,53224.746829561984
2026-04-01,-0.01780577522869246,50,0.5227703895091075,52277.03895091075
2026-04-02,-0.017603947392534066,50,0.5135675670738147,51356.756707381464
2026-04-03,0.024449330028766987,50,0.5261239500132733,52612.39500132733
2026-04-07,-0.00593677531746021,50,0.5230004703329099,52300.04703329098
2026-04-08,0.005098057439987988,50,0.5256667567718077,52566.67567718078
2026-04-09,0.01046819743073665,50,0.53116954016447,53116.954016447
2026-04-10,0.039541724422041465,50,0.5521728997430361,55217.28997430361
2026-04-13,0.02344811946535634,50,0.565120315861743,56512.03158617431
2026-04-14,0.04259442107425007,50,0.5891912885531714,58919.12885531714
2026-04-15,0.016113263973987043,50,0.5986850833168021,59868.50833168021
2026-04-16,0.026706394532230195,50,0.6146738033524217,61467.380335242175
2026-04-17,0.00345052096178017,50,0.6167947481955464,61679.474819554634
2026-04-20,-0.005920683569732699,50,0.6131429016640075,61314.29016640075
2026-04-21,-0.020639732150080733,50,0.6004877964039391,60048.779640393914
2026-04-22,-0.034611680116257766,50,0.5797039048810895,57970.39048810895
2026-04-23,-0.02568578256111545,50,0.5648137564304843,56481.37564304843
2026-04-24,0.05392862840429315,50,0.5952733876186569,59527.33876186569
2026-04-27,0.04357662600263646,50,0.6212133934002375,62121.339340023755
2026-04-28,0.024900342893905317,50,0.63668181990619,63668.181990619
2026-04-29,0.05307186284671058,50,0.6704717101292454,67047.17101292455
2026-04-30,0.03977003828582544,50,0.6971363957106484,69713.63957106485
2026-05-06,0.06662264474853644,50,0.7435814661433542,74358.14661433542
2026-05-07,0.02278387385914991,50,0.7605231324719661,76052.31324719661
2026-05-08,-0.026801526123686924,50,0.7401399518693506,74013.99518693506
2026-05-11,-0.019538675591303532,50,0.7256785974576123,72567.85974576123
2026-05-12,-0.023077340142148316,50,0.7089318656302058,70893.18656302059
2026-05-13,-0.017448794744897012,50,0.6965618590187075,69656.18590187075
2026-05-14,-0.04388258898864246,50,0.6659949212542248,66599.49212542248
2026-05-15,-0.007259674765293942,50,0.6611600147305815,66116.00147305815
2026-05-18,-0.024173753434364703,50,0.6451772955538235,64517.72955538235
2026-05-19,-0.029582451231094896,50,0.6260913696726929,62609.13696726929
2026-05-20,-0.02961888303317986,50,0.607547242626274,60754.7242626274
2026-05-21,-0.01424103840245423,50,0.5988951390127281,59889.5139012728
2026-05-22,-0.05164885017414626,50,0.5679628937078351,56796.28937078352
2026-05-25,-0.030712574277249192,50,0.5505192911481119,55051.929114811195
2026-05-26,-0.03305026707137082,50,0.532324481547725,53232.44815477251
2026-05-27,0.01882718105618585,50,0.5423466509424643,54234.665094246426
2026-05-28,-0.024830425242092044,50,0.5288799529709385,52887.99529709385
2026-05-29,-0.03083652694515908,50,0.5125711320503957,51257.113205039575
2026-06-01,-0.040488410601601625,50,0.4918179415934116,49181.79415934116
2026-06-02,0.0,50,0.4918179415934116,49181.79415934116
2026-06-03,0.0,50,0.4918179415934116,49181.79415934116
2026-06-04,0.0,50,0.4918179415934116,49181.79415934116
2026-06-05,0.0,50,0.4918179415934116,49181.79415934116
2026-06-08,0.0,50,0.4918179415934116,49181.79415934116
